FID,IID,PC1,PC2,PC3
Arcadia,Arcadia,-0.0428235,0.0168403,-0.00518759
B2,B2,0.00798432,-0.0491399,0.0137245
B71,B71,0.112724,-0.160187,0.0323889
Bd8401,Bd8401,-0.017578,0.00275309,-0.0151231
BdBar,BdBar,0.104411,-0.152912,0.0305053
BF0072,BF0072,-0.0638566,0.0212369,-0.00362359
Bm88324,Bm88324,0.119525,-0.040274,-0.0965659
BN0019,BN0019,-0.0637312,0.0206635,-0.00381096
BN0119,BN0119,-0.0836795,0.0272783,0.000547494
BN0123,BN0123,-0.083628,0.027332,0.000559713
BN0202,BN0202,-0.0841499,0.0273076,0.000395869
BN0252,BN0252,-0.0837887,0.0267644,0.000511697
Br7,Br7,0.0939581,-0.137931,0.0276755
Br80,Br80,0.0995982,-0.146346,0.0331409
CD0065,CD0065,-0.0844152,0.0271654,0.000652882
CD0142,CD0142,-0.0841913,0.0262081,0.000890833
CH0043,CH0043,-0.0837671,0.0270769,0.000664445
CH0072,CH0072,-0.0842562,0.0269814,0.00078334
CH0452,CH0452,-0.0844251,0.0272539,0.000492812
CH0461,CH0461,-0.0836951,0.0267783,0.000765362
CH0533,CH0533,-0.0838209,0.0270266,0.000652138
CH1103,CH1103,-0.0845104,0.0273876,0.000531047
CH1164,CH1164,-0.0841415,0.0269028,0.000760279
CHRF,CHRF,0.0865613,-0.157405,0.046806
CHW,CHW,0.0888772,-0.158988,0.0475747
CM0028,CM0028,-0.085368,0.0275213,0.000532962
FR1067,FR1067,0.0941732,-0.163831,0.0489967
FR1069,FR1069,0.0949485,-0.16434,0.0491002
G17,G17,0.143716,-0.0252384,-0.0691047
G22,G22,0.120557,-0.0984441,-0.0475584
GFSI1-7-2,GFSI1-7-2,-0.045365,0.0175213,-0.00393121
GG11,GG11,0.056833,-0.119112,0.0366635
GN0001,GN0001,0.214425,0.241947,0.0697535
GY0040,GY0040,-0.084729,0.0263939,0.000859178
HO,HO,0.0927666,-0.165751,0.0492867
IA1,IA1,-0.082326,0.0249572,0.000937654
IB33,IB33,-0.0813099,0.0245574,0.000925258
IB49,IB49,-0.0828004,0.0251757,0.000682378
IC17,IC17,-0.0819914,0.0249486,0.000903959
IE1K,IE1K,-0.0823429,0.0249563,0.00105749
IN0017,IN0017,-0.0843185,0.0273641,0.000365752
IN0054,IN0054,-0.0850208,0.0273613,0.000333352
IN0059,IN0059,-0.0840887,0.0272614,0.000354057
IN0114,IN0114,-0.0835231,0.0269356,0.000233638
IN0115,IN0115,-0.0834232,0.0267408,0.000457675
IN0116,IN0116,-0.0825153,0.0266586,0.000585985
INA168,INA168,-0.0828645,0.026582,0.000551507
IR00102,IR00102,0.232594,0.270737,0.091449
IR0013,IR0013,0.229322,0.267521,0.0902331
IR0015,IR0015,0.230484,0.268677,0.0906002
IR0083,IR0083,0.229421,0.267538,0.0904455
IR0084,IR0084,0.231504,0.26984,0.0911883
IR0088,IR0088,0.166301,0.0742062,-0.942315
IR0095,IR0095,0.219141,0.257747,0.0858931
IT0010,IT0010,-0.084506,0.0271779,0.000541756
JP0091,JP0091,-0.0410254,0.0199245,-0.00518024
LpKY-97-1,LpKY-97-1,0.0950767,-0.167893,0.049978
ML0060,ML0060,-0.08533,0.0276941,0.000578466
ML0062,ML0062,-0.0848935,0.0275292,0.000429349
ML33,ML33,-0.0836384,0.0266459,0.000665652
NG0012,NG0012,-0.0838711,0.0271091,0.000353775
NG0054,NG0054,-0.0842853,0.0272918,0.000355748
NP0058,NP0058,-0.0840089,0.026972,0.000715877
P28,P28,0.103387,-0.159653,0.0385853
P29,P29,-0.0444392,0.00822552,0.00392762
P3,P3,0.100026,-0.142472,0.0288106
Pg1213-22,Pg1213-22,0.0887221,-0.148453,0.0386628
PgKY4OV2-1,PgKY4OV2-1,0.0896253,-0.159128,0.0478351
PgPA18C-02,PgPA18C-02,0.0915645,-0.160955,0.048488
PH42,PH42,0.116191,-0.121508,-0.00954767
PL2-1,PL2-1,0.0925054,-0.16297,0.0477844
SSFL02,SSFL02,0.113028,-0.0496612,-0.0655904
SSFL14-3,SSFL14-3,0.117931,-0.0534402,-0.0680539
T25,T25,0.108636,-0.140792,0.0250157
TG0004,TG0004,-0.0834947,0.0271309,0.000538335
TG0032,TG0032,-0.0835345,0.0272163,0.000525798
TN0001,TN0001,-0.0836664,0.0261284,0.00087746
TN0002,TN0002,-0.0838183,0.02621,0.000885096
TN0050,TN0050,-0.0840375,0.027032,0.000422477
TN0057,TN0057,-0.084163,0.0271125,0.000416761
TN0065,TN0065,-0.0834447,0.0259456,0.00097652
TN0090,TN0090,-0.0836204,0.026102,0.000897197
TR0025,TR0025,-0.084676,0.0273247,0.000615425
US0041,US0041,-0.0831781,0.0261362,0.000974262
US0064,US0064,-0.0417315,0.0202491,-0.00510758
VT0027,VT0027,-0.0843315,0.027278,0.000376755
VT0030,VT0030,-0.0840679,0.0273701,0.000270891
Z2-1,Z2-1,0.113197,-0.0949108,-0.0434086
