FID,IID,PC1,PC2,PC3,Cluster
AG0004,AG0004,-0.0591013,0.14754,-0.131626,1
Arcadia,Arcadia,0.0463443,0.00437689,-0.0358795,0
B71,B71,0.107241,-0.0969817,-0.0377727,0
Bd8401,Bd8401,0.0590131,-0.0248477,-0.0516339,0
BdBar,BdBar,0.103825,-0.0946097,-0.0508143,0
BF0072,BF0072,0.0653785,0.0737633,0.0796097,1
Bm88324,Bm88324,0.0867501,-0.0390898,0.000151877,0
BN0019,BN0019,0.0580234,0.0636784,0.0535061,1
BN0119,BN0119,-0.0185538,0.0799096,0.0176225,1
BN0123,BN0123,-0.0174744,0.0821297,0.0287093,1
BN0202,BN0202,-0.0397075,0.128393,-0.0922792,1
BN0252,BN0252,0.00322989,0.16515,0.179771,1
Br7,Br7,0.100174,-0.103762,-0.0606214,0
Br80,Br80,0.0995641,-0.105302,-0.0620501,0
CD0065,CD0065,-0.0191348,0.119323,0.0395549,1
CD0142,CD0142,-0.138268,0.00957541,-0.0685412,1
CH0043,CH0043,-0.193558,-0.0931892,-0.254026,2
CH0072,CH0072,-0.290003,-0.181999,-0.123467,2
CH0452,CH0452,-0.059405,0.106281,0.0355939,1
CH0461,CH0461,-0.254731,-0.129914,-0.30668,2
CH0533,CH0533,-0.0537604,0.136302,-0.0780844,1
CH1103,CH1103,-0.241861,-0.147752,0.0753612,2
CH1164,CH1164,-0.321145,-0.226183,-0.0843791,2
CHRF,CHRF,0.116838,-0.0901879,-0.0149912,0
CHW,CHW,0.114989,-0.114899,-0.0533494,0
CM0028,CM0028,-0.0406851,0.176816,0.127713,1
FR1067,FR1067,0.119414,-0.0821824,-0.00953924,0
FR1069,FR1069,0.118617,-0.075399,-0.00968795,0
G17,G17,0.0931117,-0.0800543,-0.0461169,0
G22,G22,0.096287,-0.0829045,-0.0166121,0
GFSI1-7-2,GFSI1-7-2,0.0537018,0.026252,-0.00870849,0
GG11,GG11,0.11181,-0.0865603,-0.0306586,0
GN0001,GN0001,0.0978297,-0.0405473,0.0208619,0
GY0040,GY0040,-0.0351075,0.117657,0.0979156,1
HO,HO,0.109939,-0.0861942,-0.0302503,0
IA1,IA1,-0.0535015,0.133904,-0.142001,1
IB33,IB33,-0.00884949,0.0804467,0.00146757,1
IB49,IB49,-0.115374,-0.00682405,-0.0807197,1
IC17,IC17,-0.0307787,0.0642086,-0.0661211,1
IE1K,IE1K,-0.0332882,0.0692895,-0.0607282,1
IN0017,IN0017,-0.0419307,0.0986739,0.00218294,1
IN0054,IN0054,-0.00231404,0.129117,0.0165219,1
IN0059,IN0059,-0.0267042,0.0902416,0.0290869,1
IN0114,IN0114,-0.135381,-0.0383603,0.158205,1
IN0115,IN0115,-0.0613132,0.0845666,0.0119937,1
IN0116,IN0116,-0.0348065,0.0599789,-0.0267038,1
INA168,INA168,-0.0825127,0.157144,-0.170497,1
IR00102,IR00102,0.0986184,-0.049386,0.00392091,0
IR0013,IR0013,0.0970377,-0.0488199,0.00556296,0
IR0015,IR0015,0.0985034,-0.046378,0.00904664,0
IR0083,IR0083,0.0994812,-0.048464,0.00191557,0
IR0084,IR0084,0.101417,-0.0520016,0.00535439,0
IR0095,IR0095,0.093724,-0.0377276,0.00795601,0
IT0010,IT0010,-0.0435891,0.164608,-0.114094,1
JP0091,JP0091,0.0657666,0.0165768,0.00230861,0
LpKY-97-1,LpKY-97-1,0.110466,-0.0972214,-0.0505096,0
ML0060,ML0060,-0.0175973,0.170924,0.132652,1
ML0062,ML0062,-0.00380502,0.122575,0.0433587,1
ML33,ML33,-0.00591783,0.184784,0.170392,1
NG0012,NG0012,-0.0173789,0.166458,0.132225,1
NG0054,NG0054,-0.0355877,0.158429,0.128935,1
NP0058,NP0058,-0.19587,-0.00371789,-0.366555,2
P28,P28,0.110915,-0.0847491,-0.0153499,0
P3,P3,0.109974,-0.0796536,-0.0205289,0
Pg1213-22,Pg1213-22,0.105518,-0.0893092,-0.0519214,0
PgKY4OV2-1,PgKY4OV2-1,0.117786,-0.0732666,-0.00195566,0
PgPA18C-02,PgPA18C-02,0.112307,-0.0751726,-0.0153676,0
PH42,PH42,0.0957127,-0.0784589,-0.0555727,0
PL2-1,PL2-1,0.111273,-0.0952151,-0.0383946,0
SSFL02,SSFL02,0.100478,-0.0464584,0.00919185,0
SSFL14-3,SSFL14-3,0.110805,-0.0150786,0.0592334,0
T25,T25,0.105411,-0.105541,-0.044119,0
TG0004,TG0004,0.00242339,0.0868102,0.00354676,1
TG0032,TG0032,0.00691444,0.0924042,0.0205896,1
TN0001,TN0001,-0.161719,-0.192582,0.259448,0
TN0002,TN0002,-0.159772,-0.190874,0.266086,0
TN0050,TN0050,-0.0171408,0.0972258,0.0236808,1
TN0057,TN0057,-0.0158571,0.102172,0.0301987,1
TN0065,TN0065,-0.154652,-0.188077,0.28818,0
TN0090,TN0090,-0.159855,-0.19498,0.260755,0
TR0025,TR0025,-0.0463543,0.163173,-0.124647,1
US0041,US0041,-0.00699186,0.107124,0.0309366,1
US0064,US0064,0.0679871,0.0202209,0.00558336,0
VT0027,VT0027,-0.169201,-0.0982266,0.181831,0
VT0030,VT0030,-0.117271,0.0222492,0.0590202,1
Z2-1,Z2-1,0.0936151,-0.0711018,-0.0203478,0
