Sample	Unique Reads	Duplicate Reads
AG0004_R1	9980759.0	2574294.0
AG0004_R2	10212112.0	2342941.0
Arcadia_R1	1328471.0	102615.0
Arcadia_R2	1332751.0	98335.0
B2_R1	7125260.0	871242.0
B2_R2	283641.0	2850.0
B71_R1	14587118.0	2787840.0
B71_R2	15111529.0	2263429.0
BF0072_R1	7869521.0	2195272.0
BF0072_R2	8181104.0	1883689.0
BN0019_R1	9187203.0	2679840.0
BN0019_R2	9567265.0	2299778.0
BN0119_R1	5320287.0	1302004.0
BN0119_R2	5491688.0	1130603.0
BN0123_R1	6365972.0	1553652.0
BN0123_R2	6549733.0	1369891.0
BN0202_R1	6828748.0	1777413.0
BN0202_R2	7070008.0	1536153.0
BN0252_R1	8486948.0	2354864.0
BN0252_R2	8745898.0	2095914.0
Bd8401_R1	1992320.0	293477.0
Bd8401_R2	2041537.0	244260.0
BdBar_R1	6567604.0	2436477.0
BdBar_R2	6951435.0	2052646.0
Bm88324_R1	2686277.0	661560.0
Bm88324_R2	2819662.0	528175.0
Br7_R1	4713199.0	954772.0
Br7_R2	4810009.0	857962.0
Br80_R1	4700633.0	1198137.0
Br80_R2	4872760.0	1026010.0
CD0065_R1	7598890.0	2343709.0
CD0065_R2	7921398.0	2021201.0
CD0142_R1	10356184.0	3220746.0
CD0142_R2	10690454.0	2886476.0
CH0043_R1	10973719.0	3378592.0
CH0043_R2	11401217.0	2951094.0
CH0072_R1	8351518.0	2256222.0
CH0072_R2	8612776.0	1994964.0
CH0452_R1	6580890.0	1482961.0
CH0452_R2	6729626.0	1334225.0
CH0461_R1	10415006.0	3133392.0
CH0461_R2	10894564.0	2653834.0
CH0533_R1	6669093.0	1704930.0
CH0533_R2	6859477.0	1514546.0
CH1103_R1	6026646.0	1527765.0
CH1103_R2	6215427.0	1338984.0
CH1164_R1	5209828.0	1119399.0
CH1164_R2	5344247.0	984980.0
CHRF_R1	2478368.0	502079.0
CHRF_R2	4183994.0	949974.0
CHW_R1	2494734.0	485802.0
CHW_R2	2590507.0	390029.0
CM0028_R1	14721093.0	4970110.0
CM0028_R2	15383783.0	4307420.0
FR1067_R1	12090757.0	3089826.0
FR1067_R2	12429610.0	2750973.0
FR1069_R1	13702902.0	3605397.0
FR1069_R2	14143129.0	3165170.0
G17_R1	3756542.0	932742.0
G17_R2	3924152.0	765132.0
G22_R1	3631799.0	930300.0
G22_R2	3667568.0	894531.0
GFSI1-7-2_R1	21775566.0	8585209.0
GFSI1-7-2_R2	22052630.0	8308145.0
GG11_R1	902941.0	97059.0
GG11_R2	919198.0	80802.0
GN0001_R1	10099969.0	2169891.0
GN0001_R2	10305846.0	1964014.0
GY0040_R1	8089405.0	2216726.0
GY0040_R2	8318688.0	1987443.0
HO_R1	4638746.0	1278530.0
HO_R2	4871534.0	1045742.0
IA1_R1	2524997.0	587488.0
IA1_R2	2612250.0	500235.0
IB33_R1	1225368.0	262002.0
IB33_R2	1265430.0	221940.0
IB49_R1	3962977.0	1290568.0
IB49_R2	4081009.0	1172536.0
IC17_R1	2694949.0	655727.0
IC17_R2	2754352.0	596324.0
IE1K_R1	5366831.0	2389376.0
IN0017_R1	5245568.0	1386528.0
IN0017_R2	5453889.0	1178207.0
IN0054_R1	9459450.0	2878126.0
IN0054_R2	9789382.0	2548194.0
IN0059_R1	4462081.0	1088030.0
IN0059_R2	4594719.0	955392.0
IN0114_R1	9118084.0	2692078.0
IN0114_R2	9402348.0	2407814.0
IN0115_R1	9986076.0	3187800.0
IN0115_R2	10400722.0	2773154.0
IN0116_R1	10012669.0	3307757.0
IN0116_R2	10395072.0	2925354.0
INA168_R1	21288623.0	7527660.0
INA168_R2	21169615.0	7646668.0
IR00102_R1	13307739.0	3648641.0
IR00102_R2	13707492.0	3248888.0
IR0013_R1	11940945.0	3156572.0
IR0013_R2	12379184.0	2718333.0
IR0015_R1	11067165.0	2925709.0
IR0015_R2	11434463.0	2558411.0
IR0083_R1	9414905.0	2027285.0
IR0083_R2	9655890.0	1786300.0
IR0084_R1	13693508.0	3785574.0
IR0084_R2	14049031.0	3430051.0
IR0088_R1	12989476.0	4859485.0
IR0088_R2	13527150.0	4321811.0
IR0095_R1	12169128.0	3594405.0
IR0095_R2	12505633.0	3257900.0
IT0010_R1	12660922.0	4117949.0
IT0010_R2	13199963.0	3578908.0
JP0091_R1	11389095.0	2875631.0
JP0091_R2	11697779.0	2566947.0
LpKY-97-1_R1	4552654.0	1080426.0
LpKY-97-1_R2	4571136.0	1061944.0
ML0060_R1	10893582.0	2785339.0
ML0060_R2	11125241.0	2553680.0
ML0062_R1	6989743.0	1986734.0
ML0062_R2	7220366.0	1756111.0
ML33_R1	2666598.0	887096.0
ML33_R2	2718262.0	835432.0
NG0012_R1	5677780.0	1428968.0
NG0012_R2	5843804.0	1262944.0
NG0054_R1	7403130.0	1939156.0
NG0054_R2	7668332.0	1673954.0
NP0058_R1	9765917.0	3007632.0
NP0058_R2	10236296.0	2537253.0
P28_R1	7939915.0	1039431.0
P28_R2	8038770.0	940576.0
P29_R1	8188785.0	1146595.0
P29_R2	8188785.0	1146595.0
P3_R1	13674484.0	2456280.0
P3_R2	14136766.0	1993998.0
PH42_R1	1241792.0	60874.0
PH42_R2	1245575.0	57091.0
PL2-1_R1	4187887.0	1214137.0
PL2-1_R2	4292934.0	1109090.0
Pg1213-22_R1	3279169.0	662417.0
