Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AG0004_R1	AG0004_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12555053.0	0.0	150.0	50.0	79.49595198307632	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
AG0004_R2	AG0004_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12555053.0	0.0	150.0	50.0	81.33865960125381	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
Arcadia_R1	Arcadia_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1431086.0	0.0	35-251	49.0	92.82954429690491	247.226831231666	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
Arcadia_R2	Arcadia_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1431086.0	0.0	35-251	49.0	93.12861532881483	247.29430376651018	pass	warn	pass	pass	warn	warn	pass	warn	pass	pass	pass
B2_R1	B2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7996502.0	0.0	250.0	50.0	89.10470291599724	250.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail
B2_R2	B2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	286491.0	0.0	250.0	51.0	99.0048611336524	250.0	pass	fail	pass	pass	warn	warn	pass	pass	pass	pass	fail
B71_R1	B71_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17374958.0	0.0	300.0	49.0	83.95483644738185	300.0	pass	fail	pass	pass	fail	warn	pass	pass	pass	pass	fail
B71_R2	B71_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17374958.0	0.0	300.0	49.0	86.97303379033751	300.0	pass	fail	fail	pass	warn	warn	fail	pass	pass	pass	fail
BF0072_R1	BF0072_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10064793.0	0.0	151.0	49.0	78.18860191139699	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
BF0072_R2	BF0072_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10064793.0	0.0	151.0	49.0	81.28436749423146	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
