Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AG0004_R1	20.504048016923676	50.0	150.0	0.0	12555053.0
AG0004_R2	18.66134039874619	50.0	150.0	0.0	12555053.0
Arcadia_R1	7.170455703095087	49.0	247.226831231666	0.0	1431086.0
Arcadia_R2	6.871384671185169	49.0	247.29430376651018	0.0	1431086.0
B2_R1	10.895297084002763	50.0	250.0	9.090909090909092	7996502.0
B2_R2	0.9951388663476024	51.0	250.0	18.181818181818183	286491.0
B71_R1	16.04516355261815	49.0	300.0	27.27272727272727	17374958.0
B71_R2	13.02696620966249	49.0	300.0	36.36363636363637	17374958.0
BF0072_R1	21.811398088603013	49.0	151.0	0.0	10064793.0
BF0072_R2	18.71563250576854	49.0	151.0	0.0	10064793.0
BN0019_R1	22.582208509031602	49.0	151.0	0.0	11867043.0
BN0019_R2	19.379537632853655	49.0	151.0	0.0	11867043.0
BN0119_R1	19.66093170192846	50.0	151.0	0.0	6622291.0
BN0119_R2	17.072694152758345	50.0	151.0	0.0	6622291.0
BN0123_R1	19.617761469413153	50.0	151.0	0.0	7919624.0
BN0123_R2	17.297437031394423	50.0	151.0	0.0	7919624.0
BN0202_R1	20.652809013495826	50.0	151.0	0.0	8606161.0
BN0202_R2	17.84945785955496	50.0	151.0	0.0	8606161.0
BN0252_R1	21.720209216928183	50.0	151.0	0.0	10841812.0
BN0252_R2	19.331770002769716	50.0	151.0	0.0	10841812.0
Bd8401_R1	12.83918400974774	50.0	244.93624893199177	9.090909090909092	2285797.0
Bd8401_R2	10.685990497419908	51.0	245.11226543739448	9.090909090909092	2285797.0
BdBar_R1	27.059703003076933	50.0	185.9803821178419	10.0	9004081.0
BdBar_R2	22.796842658992503	50.0	158.3576682617582	10.0	9004081.0
Bm88324_R1	19.76081993322103	49.0	247.77361681587246	9.090909090909092	3347837.0
Bm88324_R2	15.776607548811825	50.0	247.88368250903494	9.090909090909092	3347837.0
Br7_R1	16.84504267352432	49.0	167.24045130082706	9.090909090909092	5667971.0
Br7_R2	15.13702682571622	49.0	172.81226138948136	27.27272727272727	5667971.0
