Sample	Unique Reads	Duplicate Reads
AG0004_R1_paired	6119937.0	1152026.0
AG0004_R2_paired	6299433.0	972530.0
Arcadia_R1_paired	1105493.0	75235.0
Arcadia_R2_paired	1107323.0	73405.0
B2_R1_paired	227893.0	2212.0
B2_R2_paired	228019.0	1988.0
B71_R1_paired	8479100.0	1094268.0
B71_R2_paired	8597626.0	975742.0
BF0072_R1_paired	4807337.0	920100.0
BF0072_R2_paired	4921702.0	805735.0
BN0019_R1_paired	5988157.0	1405010.0
BN0019_R2_paired	6398444.0	994723.0
BN0119_R1_paired	3498240.0	684819.0
BN0119_R2_paired	3688117.0	494942.0
BN0123_R1_paired	4168329.0	778458.0
BN0123_R2_paired	4338576.0	608211.0
BN0202_R1_paired	4486696.0	928519.0
BN0202_R2_paired	4760808.0	654407.0
BN0252_R1_paired	6120957.0	1380988.0
BN0252_R2_paired	6482128.0	1019817.0
Bd8401_R1_paired	890673.0	84886.0
Bd8401_R2_paired	900226.0	75333.0
BdBar_R1_paired	2970737.0	621685.0
BdBar_R2_paired	3017427.0	574995.0
Bm88324_R1_paired	1105169.0	191825.0
Bm88324_R2_paired	1126929.0	170065.0
Br7_R1_paired	2846192.0	415715.0
Br7_R2_paired	2887189.0	374718.0
Br80_R1_paired	2894448.0	560156.0
Br80_R2_paired	2963205.0	491399.0
CD0065_R1_paired	5077985.0	1260489.0
CD0065_R2_paired	5446895.0	891579.0
CD0142_R1_paired	7234009.0	1824121.0
CD0142_R2_paired	7734785.0	1323345.0
CH0043_R1_paired	7499223.0	1863193.0
CH0043_R2_paired	8025615.0	1336801.0
CH0072_R1_paired	5562466.0	1207355.0
CH0072_R2_paired	5874521.0	895300.0
CH0452_R1_paired	4494773.0	780443.0
CH0452_R2_paired	4672646.0	602570.0
CH0461_R1_paired	6714714.0	1570244.0
CH0461_R2_paired	7200463.0	1084495.0
CH0533_R1_paired	4752555.0	995326.0
CH0533_R2_paired	5020553.0	727328.0
CH1103_R1_paired	4153048.0	849700.0
CH1103_R2_paired	4385807.0	616941.0
CH1164_R1_paired	3543322.0	605909.0
CH1164_R2_paired	3727840.0	421391.0
CHW_R1_paired	1389572.0	209340.0
CHW_R2_paired	1416538.0	182374.0
CM0028_R1_paired	9915806.0	2636151.0
CM0028_R2_paired	10573673.0	1978284.0
FR1067_R1_paired	8273966.0	1694570.0
FR1067_R2_paired	8681349.0	1287187.0
FR1069_R1_paired	9366490.0	1946792.0
FR1069_R2_paired	9798064.0	1515218.0
G17_R1_paired	1763216.0	293061.0
G17_R2_paired	1798166.0	258111.0
G22_R1_paired	2617872.0	549862.0
G22_R2_paired	2637309.0	530425.0
GFSI1-7-2_R1_paired	18384666.0	5505663.0
GFSI1-7-2_R2_paired	18460266.0	5430063.0
GG11_R1_paired	543032.0	46385.0
GG11_R2_paired	547813.0	41604.0
GN0001_R1_paired	6698528.0	1143633.0
GN0001_R2_paired	6937924.0	904237.0
GY0040_R1_paired	5519551.0	1246767.0
GY0040_R2_paired	5820216.0	946102.0
HO_R1_paired	2579148.0	466087.0
HO_R2_paired	2626507.0	418728.0
IA1_R1_paired	1301031.0	217077.0
IA1_R2_paired	1319448.0	198660.0
IB33_R1_paired	648912.0	109548.0
IB33_R2_paired	661803.0	96657.0
IB49_R1_paired	2399855.0	601376.0
IB49_R2_paired	2429711.0	571520.0
IC17_R1_paired	1583930.0	296020.0
IC17_R2_paired	1595033.0	284917.0
IN0017_R1_paired	3046612.0	538993.0
IN0017_R2_paired	3132804.0	452801.0
IN0054_R1_paired	6369852.0	1574449.0
IN0054_R2_paired	6766449.0	1177852.0
IN0059_R1_paired	2997387.0	583463.0
IN0059_R2_paired	3172651.0	408199.0
IN0114_R1_paired	6149582.0	1413641.0
IN0114_R2_paired	6450010.0	1113213.0
IN0115_R1_paired	6765006.0	1754498.0
IN0115_R2_paired	7253318.0	1266186.0
IN0116_R1_paired	7033794.0	1935792.0
IN0116_R2_paired	7531569.0	1438017.0
INA168_R1_paired	18305909.0	4461430.0
INA168_R2_paired	18108847.0	4658492.0
IR00102_R1_paired	8988354.0	1970137.0
IR00102_R2_paired	9419507.0	1538984.0
IR0013_R1_paired	7454377.0	1487274.0
IR0013_R2_paired	7707317.0	1234334.0
IR0015_R1_paired	7238734.0	1544286.0
IR0015_R2_paired	7618829.0	1164191.0
IR0083_R1_paired	5963705.0	1027654.0
IR0083_R2_paired	6207370.0	783989.0
IR0084_R1_paired	8389918.0	1740614.0
IR0084_R2_paired	8608041.0	1522491.0
IR0088_R1_paired	8833946.0	2810887.0
IR0088_R2_paired	9377353.0	2267480.0
IR0095_R1_paired	8717936.0	2138446.0
IR0095_R2_paired	9132770.0	1723612.0
IT0010_R1_paired	8260797.0	2056879.0
IT0010_R2_paired	8685846.0	1631830.0
JP0091_R1_paired	7581485.0	1506508.0
JP0091_R2_paired	7893020.0	1194973.0
LpKY-97-1_R1_paired	3378601.0	636061.0
LpKY-97-1_R2_paired	3388014.0	626648.0
ML0060_R1_paired	6895855.0	1240533.0
ML0060_R2_paired	7083818.0	1052570.0
ML0062_R1_paired	4845071.0	1121031.0
ML0062_R2_paired	5135649.0	830453.0
ML33_R1_paired	1605733.0	438374.0
ML33_R2_paired	1625838.0	418269.0
NG0012_R1_paired	3923486.0	799317.0
NG0012_R2_paired	4149100.0	573703.0
NG0054_R1_paired	4496830.0	778855.0
NG0054_R2_paired	4595133.0	680552.0
NP0058_R1_paired	6003285.0	1443216.0
NP0058_R2_paired	6455178.0	991323.0
P28_R1_paired	6007701.0	649621.0
P28_R2_paired	6069109.0	588213.0
P29_R1_paired	7123057.0	831692.0
P29_R2_paired	7123057.0	831692.0
P3_R1_paired	7982877.0	919636.0
P3_R2_paired	8094432.0	808081.0
PH42_R1_paired	1015522.0	42120.0
PH42_R2_paired	1016312.0	41330.0
PL2-1_R1_paired	2723582.0	598030.0
PL2-1_R2_paired	2762208.0	559404.0
Pg1213-22_R1_paired	2180478.0	330273.0
Pg1213-22_R2_paired	2195030.0	315721.0
PgKY4OV2-1_R1_paired	11734014.0	1146043.0
PgKY4OV2-1_R2_paired	11823316.0	1056741.0
PgPA18C-02_R1_paired	15180171.0	1238158.0
PgPA18C-02_R2_paired	15318171.0	1100158.0
