Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AG0004_R1_paired	AG0004_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7271963.0	0.0	36-150	49.0	84.15797102293756	135.95817484219873	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
AG0004_R2_paired	AG0004_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7271963.0	0.0	36-150	49.0	86.6262979058331	111.9296295924498	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Arcadia_R1_paired	Arcadia_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1180728.0	0.0	36-251	49.0	93.6280402965988	234.5465458598424	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
Arcadia_R2_paired	Arcadia_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1180728.0	0.0	36-251	48.0	93.78303710533491	201.9968299218787	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
B2_R1_paired	B2_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	230105.0	0.0	36-250	50.0	99.03869531102698	229.32760261619694	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
B2_R2_paired	B2_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	230007.0	0.0	36-250	50.0	99.13536707103685	183.5447268996161	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
B71_R1_paired	B71_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9573368.0	0.0	36-300	49.0	88.56966173476081	217.42919273551377	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	fail
B71_R2_paired	B71_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9573368.0	0.0	36-293	48.0	89.80773574434731	154.95810983135715	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	fail
BF0072_R1_paired	BF0072_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5727437.0	0.0	36-151	49.0	83.93521976556826	133.13857873949553	pass	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
BF0072_R2_paired	BF0072_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5727437.0	0.0	36-151	49.0	85.93199962088882	113.92177425958592	pass	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
BN0019_R1_paired	BN0019_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7393167.0	0.0	36-151	49.0	80.99582640243939	145.06218377050052	pass	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
BN0019_R2_paired	BN0019_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7393167.0	0.0	36-151	49.0	86.54536262941762	102.70016435446406	pass	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
BN0119_R1_paired	BN0119_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4183059.0	0.0	36-151	50.0	83.62874338696048	144.95811008164122	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
BN0119_R2_paired	BN0119_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4183059.0	0.0	36-151	49.0	88.1679214468083	109.04279045550159	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
BN0123_R1_paired	BN0123_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4946787.0	0.0	36-151	50.0	84.26335469218836	142.2267617344349	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
BN0123_R2_paired	BN0123_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4946787.0	0.0	36-151	49.0	87.70491236636201	110.85695321023525	pass	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
