sample_ids V1 V2 V3 V4 V5 V6 V7
AG0004 0.0238851 0.961574 9.99639e-05 9.99639e-05 0.0141406 9.99639e-05 9.99639e-05
Arcadia 0.183225 0.237024 0.237619 0.320673 0.0212593 9.9982e-05 9.9982e-05
B2 9.99822e-05 9.99822e-05 0.06686 0.787542 0.0588452 0.0593177 0.0272356
B71 0.000371518 9.9964e-05 9.9964e-05 0.95263 0.0465985 9.9964e-05 9.9964e-05
Bd8401 0.220502 0.0953764 0.232158 0.451663 9.99731e-05 9.99731e-05 9.99731e-05
BdBar 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05
BF0072 0.203406 9.99731e-05 0.355007 0.00987434 9.99731e-05 0.431413 9.99731e-05
Bm88324 0.168814 9.99731e-05 0.401303 0.428257 0.00132582 9.99731e-05 9.99731e-05
BN0019 0.244503 9.99641e-05 0.415559 9.99641e-05 9.99641e-05 0.339538 9.99641e-05
BN0119 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05
BN0123 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05
BN0202 9.9973e-05 0.665052 9.9973e-05 0.000844248 0.139572 0.194231 9.9973e-05
BN0252 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05
Br7 9.9964e-05 0.0361798 9.9964e-05 0.944983 9.9964e-05 9.9964e-05 0.0184369
Br80 9.9955e-05 0.0364112 9.9955e-05 0.963089 9.9955e-05 9.9955e-05 9.9955e-05
CD0065 0.546128 0.0447237 0.0290561 0.00929571 9.9982e-05 0.370597 9.9982e-05
CD0142 0.372372 0.0461049 9.9982e-05 9.9982e-05 0.318868 0.170891 0.0915634
CH0043 0.164406 0.0558182 0.0544778 9.9973e-05 9.9973e-05 9.9973e-05 0.724998
CH0072 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 0.082713 9.9955e-05 0.916787
CH0452 0.7212 0.16831 9.9973e-05 9.9973e-05 0.0574702 0.0527198 9.9973e-05
CH0461 9.9955e-05 9.9955e-05 0.00447855 9.9955e-05 9.9955e-05 9.9955e-05 0.995022
CH0533 0.332048 0.555713 9.9973e-05 9.9973e-05 0.00638136 0.105557 9.9973e-05
CH1103 0.28542 9.9973e-05 9.9973e-05 0.00978603 0.317022 9.9973e-05 0.387472
CH1164 9.99549e-05 9.99549e-05 9.99549e-05 9.99549e-05 0.0835453 9.99549e-05 0.915955
CHRF 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05
CHW 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05
CM0028 0.0640168 0.0957279 9.99729e-05 9.99729e-05 0.0740456 0.76591 9.99729e-05
FR1067 9.9955e-05 9.9955e-05 0.0766155 0.922885 9.9955e-05 9.9955e-05 9.9955e-05
FR1069 9.9964e-05 9.9964e-05 0.0675861 0.929002 9.9964e-05 0.00301234 9.9964e-05
G17 9.9982e-05 0.0154826 0.232403 0.684906 9.9982e-05 0.0360039 0.0310039
G22 9.99641e-05 9.99641e-05 0.263087 0.685943 0.0505702 9.99641e-05 9.99641e-05
