sample_ids V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
AG0004 0.00680378 0.934498 9.99369e-05 9.99369e-05 9.99369e-05 0.0579982 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05
Arcadia 0.0219151 0.0868454 0.622922 0.0612947 9.99639e-05 9.99639e-05 9.99639e-05 0.0552624 9.99639e-05 0.15136
B2 0.0672141 9.99554e-05 0.133686 9.99554e-05 0.0782366 9.99554e-05 9.99554e-05 9.99554e-05 0.0335729 0.68679
B71 0.025273 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.00941626 9.9937e-05 9.9937e-05 0.964611
Bd8401 9.99641e-05 0.0242453 0.357585 0.0768635 9.99641e-05 0.135525 0.0354331 9.99641e-05 9.99641e-05 0.369949
BdBar 0.0225953 9.9937e-05 9.9937e-05 0.0314477 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.945257
BF0072 9.9937e-05 9.9937e-05 0.6392 9.9937e-05 0.313495 9.9937e-05 9.9937e-05 0.046605 9.9937e-05 9.9937e-05
Bm88324 0.00721365 9.9955e-05 0.35975 9.9955e-05 9.9955e-05 0.0867117 0.201992 9.9955e-05 9.9955e-05 0.343832
BN0019 9.9937e-05 9.9937e-05 0.645636 9.9937e-05 0.189464 9.9937e-05 9.9937e-05 0.1642 9.9937e-05 9.9937e-05
BN0119 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.999101 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05
BN0123 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.999101 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05
BN0202 0.155454 0.619766 9.9955e-05 9.9955e-05 0.163353 9.9955e-05 9.9955e-05 0.00423644 9.9955e-05 0.0566908
BN0252 9.99282e-05 9.99282e-05 9.99282e-05 9.99282e-05 0.975012 9.99282e-05 9.99282e-05 9.99282e-05 9.99282e-05 0.024189
Br7 9.9946e-05 0.0213297 9.9946e-05 0.0303795 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 0.0126249 0.935066
Br80 9.9937e-05 0.0450454 9.9937e-05 9.9937e-05 9.9937e-05 0.0204587 9.9937e-05 9.9937e-05 9.9937e-05 0.933796
CD0065 9.9937e-05 9.9937e-05 9.9937e-05 0.0773113 0.0959818 9.9937e-05 9.9937e-05 0.826007 9.9937e-05 9.9937e-05
CD0142 9.99279e-05 9.99279e-05 9.99279e-05 0.948328 9.99279e-05 0.0508722 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05
CH0043 9.99639e-05 0.00926727 0.0698922 9.99639e-05 9.99639e-05 0.103882 0.0153321 0.0704495 0.730777 9.99639e-05
CH0072 0.0920539 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 0.907147 9.9928e-05
CH0452 0.0287768 0.0823543 9.99549e-05 0.116771 9.99549e-05 0.474149 9.99549e-05 0.297449 9.99549e-05 9.99549e-05
CH0461 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 0.990098 0.00910219
CH0533 9.99549e-05 0.522957 9.99549e-05 0.105802 0.00255119 0.0333832 9.99549e-05 0.334807 9.99549e-05 9.99549e-05
CH1103 0.174065 9.9946e-05 9.9946e-05 0.286598 9.9946e-05 0.169181 9.9946e-05 9.9946e-05 0.369556 9.9946e-05
CH1164 0.0932804 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.00133512 9.9937e-05 9.9937e-05 0.904685 9.9937e-05
CHRF 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.999101
CHW 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.999101
CM0028 0.0276816 0.100254 9.99549e-05 0.0278042 0.763504 0.0802561 9.99549e-05 9.99549e-05 9.99549e-05 9.99549e-05
FR1067 0.012043 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.0510953 9.9937e-05 9.9937e-05 0.936162
FR1069 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 0.0259299 9.9946e-05 0.0496536 0.0459695 9.9946e-05 0.877847
G17 0.04292 0.0143434 0.0282526 9.99641e-05 9.99641e-05 9.99641e-05 0.22315 9.99641e-05 0.0380845 0.65285
G22 0.0204424 9.9955e-05 0.0988021 0.0509706 9.9955e-05 9.9955e-05 0.181318 9.9955e-05 9.9955e-05 0.647967
GFSI1-7-2 9.99201e-05 9.99201e-05 0.999101 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05
GG11 9.99282e-05 9.99282e-05 9.99282e-05 9.99282e-05 9.99282e-05 9.99282e-05 9.99282e-05 0.0384011 9.99282e-05 0.960799
GN0001 9.99372e-05 9.99372e-05 0.123062 9.99372e-05 9.99372e-05 9.99372e-05 0.775304 9.99372e-05 9.99372e-05 0.100935
GY0040 0.10345 0.0814798 9.99638e-05 0.331738 0.439226 9.99638e-05 0.0305998 9.99638e-05 9.99638e-05 0.0131064
HO 9.995e-05 9.995e-05 0.0138392 0.0357191 0.0123813 9.995e-05 9.995e-05 0.00596239 9.995e-05 0.931598
IA1 9.9937e-05 0.994379 9.9937e-05 0.0013432 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.00357854
IB33 9.9946e-05 0.0971081 0.147979 9.9946e-05 9.9946e-05 0.692092 9.9946e-05 9.9946e-05 9.9946e-05 0.0622209
IB49 9.99201e-05 9.99201e-05 9.99201e-05 0.999101 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05
IC17 9.99549e-05 0.224636 9.99549e-05 0.124783 9.99549e-05 0.219168 9.99549e-05 0.353867 9.99549e-05 0.0770461
IE1K 9.99639e-05 0.252706 9.99639e-05 0.0877524 9.99639e-05 0.27864 9.99639e-05 0.31924 0.0013086 0.059953
IN0017 9.9946e-05 0.0360304 9.9946e-05 0.035586 9.9946e-05 0.891791 9.9946e-05 0.0359927 9.9946e-05 9.9946e-05
IN0054 9.9955e-05 0.00154927 0.00572579 9.9955e-05 0.0248884 0.0211151 9.9955e-05 0.946222 9.9955e-05 9.9955e-05
IN0059 9.99459e-05 0.0354401 9.99459e-05 0.071711 0.00926044 0.882989 9.99459e-05 9.99459e-05 9.99459e-05 9.99459e-05
IN0114 0.133164 0.0588448 0.012643 0.00740734 0.144091 0.475377 9.9982e-05 0.0685266 0.0997459 9.9982e-05
IN0115 0.0313968 0.137444 9.9973e-05 9.9973e-05 0.0552556 0.533709 9.9973e-05 0.134048 0.0268283 0.0810188
IN0116 9.9973e-05 0.15204 0.0129535 0.346503 0.0956761 0.287122 0.0577084 9.9973e-05 9.9973e-05 0.0476976
INA168 9.99285e-05 0.99056 9.99285e-05 9.99285e-05 9.99285e-05 9.99285e-05 9.99285e-05 9.99285e-05 0.00864043 9.99285e-05
IR00102 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.999101 9.99201e-05 9.99201e-05 9.99201e-05
IR0013 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 9.9928e-05 0.998011 9.9928e-05 0.00118967 9.9928e-05
IR0015 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.999101 9.99201e-05 9.99201e-05 9.99201e-05
IR0083 9.99281e-05 0.000819087 9.99281e-05 9.99281e-05 9.99281e-05 9.99281e-05 0.998381 9.99281e-05 9.99281e-05 9.99281e-05
IR0084 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.999101 9.99201e-05 9.99201e-05 9.99201e-05
IR0088 9.99641e-05 9.99641e-05 0.199959 9.99641e-05 9.99641e-05 0.0277389 0.504659 0.041363 0.0480905 0.17779
IR0095 9.9946e-05 0.0236158 0.00417738 9.9946e-05 9.9946e-05 9.9946e-05 0.968579 0.00302801 9.9946e-05 9.9946e-05
IT0010 9.99279e-05 0.807413 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05 0.191788 9.99279e-05 9.99279e-05
JP0091 0.0315649 0.059441 0.830724 9.99458e-05 9.99458e-05 9.99458e-05 0.0776707 9.99458e-05 9.99458e-05 9.99458e-05
LpKY-97-1 9.99279e-05 9.99279e-05 9.99279e-05 0.00884587 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05 0.990355
ML0060 0.0469299 0.0581749 9.9955e-05 9.9955e-05 0.763933 9.9955e-05 0.0169003 0.113562 9.9955e-05 9.9955e-05
ML0062 9.99282e-05 9.99282e-05 9.99282e-05 9.99282e-05 0.0568343 9.99282e-05 9.99282e-05 0.942366 9.99282e-05 9.99282e-05
ML33 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.999101 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05
NG0012 9.99459e-05 0.0113502 9.99459e-05 9.99459e-05 0.843301 0.124106 9.99459e-05 0.0206431 9.99459e-05 9.99459e-05
NG0054 0.0719673 9.99459e-05 9.99459e-05 0.00827613 0.829195 0.0899619 9.99459e-05 9.99459e-05 9.99459e-05 9.99459e-05
NP0058 9.99201e-05 0.0957481 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.903453 9.99201e-05
P28 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 0.999101
P29 0.0433454 0.0873439 0.048839 0.113245 0.270246 0.00579961 0.0857243 0.0439494 0.0104301 0.291077
P3 9.99372e-05 9.99372e-05 9.99372e-05 9.99372e-05 0.031624 9.99372e-05 0.0155619 9.99372e-05 9.99372e-05 0.952114
Pg1213-22 9.9946e-05 0.0121973 9.9946e-05 0.0537793 9.9946e-05 9.9946e-05 0.00618457 9.9946e-05 9.9946e-05 0.927239
PgKY4OV2-1 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 0.0568016 0.067811 9.99369e-05 0.874688
PgPA18C-02 9.9955e-05 9.9955e-05 0.0351696 9.9955e-05 9.9955e-05 9.9955e-05 0.00669165 0.026308 0.000735253 0.930596
PH42 0.00137609 0.00733922 0.00806157 9.99551e-05 9.99551e-05 0.0799584 9.99551e-05 9.99551e-05 9.99551e-05 0.902765
