sample_ids V1 V2
AG0004 0.0097883 0.990212
Arcadia 0.567278 0.432722
B2 0.890893 0.109107
B71 0.9999 1e-04
Bd8401 0.708344 0.291656
BdBar 0.9999 1e-04
BF0072 0.37841 0.62159
Bm88324 0.804366 0.195634
BN0019 0.400111 0.599889
BN0119 0.0583053 0.941695
BN0123 0.0380017 0.961998
BN0202 0.0535792 0.946421
BN0252 0.0726919 0.927308
Br7 0.9999 1e-04
Br80 0.997374 0.00262624
CD0065 0.0673928 0.932607
CD0142 0.0206987 0.979301
CH0043 1e-04 0.9999
CH0072 1e-04 0.9999
CH0452 0.029648 0.970352
CH0461 1e-04 0.9999
CH0533 0.00568733 0.994313
CH1103 0.0604611 0.939539
CH1164 1e-04 0.9999
CHRF 0.9999 1e-04
CHW 0.9999 1e-04
CM0028 0.00455668 0.995443
FR1067 0.9999 1e-04
FR1069 0.9999 1e-04
G17 0.948591 0.0514093
G22 0.9999 1e-04
GFSI1-7-2 0.591361 0.408639
GG11 0.9999 1e-04
GN0001 0.866151 0.133849
GY0040 0.11273 0.88727
HO 0.9999 1e-04
IA1 0.095509 0.904491
IB33 0.18761 0.81239
IB49 0.196455 0.803545
IC17 0.157791 0.842209
IE1K 0.110064 0.889936
IN0017 1e-04 0.9999
IN0054 0.0456327 0.954367
IN0059 0.0484994 0.951501
IN0114 1e-04 0.9999
IN0115 0.146543 0.853457
IN0116 0.202821 0.797179
INA168 1e-04 0.9999
IR00102 0.85793 0.14207
IR0013 0.859676 0.140324
IR0015 0.821584 0.178416
IR0083 0.865865 0.134135
IR0084 0.902117 0.0978832
IR0088 0.777889 0.222111
IR0095 0.797918 0.202082
IT0010 1e-04 0.9999
JP0091 0.576107 0.423893
LpKY-97-1 0.9999 1e-04
ML0060 0.032008 0.967992
ML0062 0.110463 0.889537
ML33 0.0219964 0.978004
NG0012 0.00408989 0.99591
NG0054 1e-04 0.9999
NP0058 1e-04 0.9999
P28 0.9999 1e-04
P29 0.543404 0.456596
P3 0.9999 1e-04
Pg1213-22 0.9999 1e-04
PgKY4OV2-1 0.9999 1e-04
PgPA18C-02 0.9999 1e-04
PH42 0.999236 0.000763892
PL2-1 0.9999 1e-04
SSFL02 0.939443 0.0605573
SSFL14-3 0.900968 0.0990324
T25 0.9999 1e-04
TG0004 0.197343 0.802657
TG0032 0.194387 0.805613
TN0001 0.0859857 0.914014
TN0002 0.0843302 0.91567
TN0050 0.100413 0.899587
TN0057 0.0653542 0.934646
TN0065 0.11884 0.88116
TN0090 0.107299 0.892701
TR0025 0.0421451 0.957855
US0041 0.0583537 0.941646
US0064 0.61714 0.38286
VT0027 0.0782722 0.921728
VT0030 1e-04 0.9999
Z2-1 0.955521 0.0444794
