sample_ids V1 V2 V3
AG0004 9.999e-05 9.999e-05 0.9998
Arcadia 9.999e-05 0.520349 0.479551
B2 0.0843113 0.91299 0.00269821
B71 9.999e-05 0.9998 9.999e-05
Bd8401 9.9991e-05 0.683564 0.316336
BdBar 9.999e-05 0.9998 9.999e-05
BF0072 9.999e-05 0.329438 0.670462
Bm88324 9.999e-05 0.811952 0.187948
BN0019 9.9991e-05 0.341649 0.658251
BN0119 9.9991e-05 0.0261603 0.97374
BN0123 9.9991e-05 0.0347531 0.965147
BN0202 9.9991e-05 0.0250951 0.974805
BN0252 9.99911e-05 0.0354677 0.964432
Br7 0.0101934 0.989707 9.9991e-05
Br80 0.00432499 0.995575 9.9991e-05
CD0065 9.9991e-05 0.0402577 0.959642
CD0142 0.182081 0.0397143 0.778204
CH0043 0.735195 0.0231097 0.241696
CH0072 0.9998 9.999e-05 9.999e-05
CH0452 9.999e-05 9.999e-05 0.9998
CH0461 0.9998 9.999e-05 9.999e-05
CH0533 9.999e-05 9.999e-05 0.9998
CH1103 0.564663 0.0916337 0.343703
CH1164 0.9998 9.999e-05 9.999e-05
CHRF 9.999e-05 0.9998 9.999e-05
CHW 9.999e-05 0.9998 9.999e-05
CM0028 0.0043736 9.9991e-05 0.995526
FR1067 9.999e-05 0.9998 9.999e-05
FR1069 9.999e-05 0.9998 9.999e-05
G17 0.052694 0.943218 0.00408788
G22 0.0357353 0.964165 9.9991e-05
GFSI1-7-2 9.99911e-05 0.591606 0.408294
GG11 9.999e-05 0.9998 9.999e-05
GN0001 9.9991e-05 0.810276 0.189624
GY0040 9.9991e-05 0.0779963 0.921904
HO 9.999e-05 0.9998 9.999e-05
IA1 9.9991e-05 0.020801 0.979099
IB33 0.00852703 0.158488 0.832985
IB49 0.186126 0.170947 0.642927
IC17 9.9991e-05 0.121737 0.878163
IE1K 0.00308359 0.06628 0.930636
IN0017 0.0210703 9.9991e-05 0.97883
IN0054 9.9991e-05 0.00645763 0.993442
IN0059 0.0145789 9.9991e-05 0.985321
IN0114 0.177128 9.9991e-05 0.822772
IN0115 0.0409105 0.112837 0.846252
IN0116 9.9991e-05 0.155721 0.844179
INA168 0.0155352 9.99911e-05 0.984365
IR00102 0.0233324 0.838342 0.138325
IR0013 0.0364505 0.777363 0.186187
IR0015 0.0125793 0.804146 0.183275
IR0083 0.0198972 0.82132 0.158783
IR0084 9.9991e-05 0.851362 0.148538
IR0088 0.0278486 0.751351 0.2208
IR0095 9.9991e-05 0.762538 0.237362
IT0010 9.999e-05 9.999e-05 0.9998
JP0091 9.9991e-05 0.551113 0.448787
LpKY-97-1 9.999e-05 0.9998 9.999e-05
ML0060 9.999e-05 9.999e-05 0.9998
ML0062 9.9991e-05 0.0711057 0.928794
ML33 9.999e-05 9.999e-05 0.9998
NG0012 9.999e-05 9.999e-05 0.9998
NG0054 0.0188248 9.9991e-05 0.981075
NP0058 0.907468 9.99911e-05 0.0924324
P28 9.999e-05 0.9998 9.999e-05
P29 0.0993349 0.401252 0.499413
P3 9.999e-05 0.9998 9.999e-05
Pg1213-22 9.9991e-05 0.997698 0.00220182
PgKY4OV2-1 9.999e-05 0.9998 9.999e-05
PgPA18C-02 9.999e-05 0.9998 9.999e-05
PH42 9.9991e-05 0.993267 0.00663285
PL2-1 9.999e-05 0.9998 9.999e-05
SSFL02 9.99911e-05 0.912466 0.0874339
SSFL14-3 0.0140724 0.897438 0.0884892
T25 9.999e-05 0.9998 9.999e-05
TG0004 9.9991e-05 0.179702 0.820198
TG0032 9.9991e-05 0.156028 0.843872
TN0001 0.33182 0.079417 0.588763
TN0002 0.35067 0.11469 0.534641
TN0050 0.00264115 0.041073 0.956286
TN0057 9.9991e-05 0.0225299 0.97737
TN0065 0.331814 0.117777 0.550409
TN0090 0.341762 0.130283 0.527954
TR0025 9.999e-05 9.999e-05 0.9998
US0041 0.0113899 0.0289593 0.959651
US0064 9.9991e-05 0.583953 0.415947
VT0027 0.215943 0.0902316 0.693825
VT0030 0.18693 9.9991e-05 0.81297
Z2-1 0.0792376 0.920662 9.9991e-05
