sorted_sample_ids V1 V2 V3 V4 V5
IR00102 9.997e-05 9.997e-05 9.997e-05 9.997e-05 0.9996
IR0013 9.997e-05 9.997e-05 9.997e-05 9.997e-05 0.9996
IR0083 9.997e-05 9.997e-05 9.997e-05 9.997e-05 0.9996
IR0084 9.997e-05 9.997e-05 9.997e-05 9.997e-05 0.9996
IR0095 9.997e-05 9.997e-05 9.997e-05 9.997e-05 0.9996
IR0015 9.9973e-05 9.9973e-05 0.00417655 9.9973e-05 0.995524
GN0001 9.99731e-05 0.116345 9.99731e-05 9.99731e-05 0.883356
IR0088 0.0787307 0.241426 9.9991e-05 0.0572745 0.622469
US0064 0.294968 0.0998474 9.9982e-05 9.9982e-05 0.604985
JP0091 0.306364 0.101685 9.9982e-05 9.9982e-05 0.591751
GFSI1-7-2 0.328072 0.105506 9.99821e-05 9.99821e-05 0.566223
SSFL02 9.99732e-05 0.518456 9.99732e-05 9.99732e-05 0.481244
Bm88324 0.0716149 0.426489 0.038298 9.9991e-05 0.463498
BN0019 0.586077 0.0218402 9.99821e-05 9.99821e-05 0.391883
SSFL14-3 0.0578776 0.550049 9.99911e-05 0.020694 0.37128
Z2-1 9.9991e-05 0.584352 0.0413488 0.0337417 0.340457
Bd8401 0.235807 0.448644 0.00303031 9.9991e-05 0.312419
BF0072 0.646878 0.0471578 9.99821e-05 9.99821e-05 0.305764
Arcadia 0.372497 0.320233 0.0182169 9.9991e-05 0.288952
G22 9.9982e-05 0.665324 0.047716 9.9982e-05 0.28676
G17 9.9991e-05 0.748571 0.00523903 0.0242416 0.221848
IB33 0.703787 0.0283139 0.0497289 0.0252226 0.192947
P29 0.321112 0.265933 0.205851 0.0299758 0.177128
BN0119 0.71045 9.9982e-05 0.128763 9.9982e-05 0.160587
TG0004 0.77284 0.0566902 0.0445697 9.9991e-05 0.125801
TG0032 0.787714 0.0547494 0.0393836 9.9991e-05 0.118053
TN0050 0.79701 9.99819e-05 0.0932374 9.99819e-05 0.109553
BN0123 0.758554 9.9982e-05 0.139315 9.9982e-05 0.101931
CH1103 0.0776401 9.9991e-05 0.397099 0.42435 0.100811
B2 0.0157118 0.849301 9.99911e-05 0.0365504 0.0983364
TN0057 0.804995 9.9991e-05 0.0918612 0.00885849 0.0941855
CH0043 0.178439 9.9982e-05 9.9982e-05 0.729859 0.0915015
IN0115 0.710829 0.0552041 0.108523 0.0414639 0.0839805
FR1067 9.9973e-05 0.926434 9.9973e-05 9.9973e-05 0.0732659
PgKY4OV2-1 0.000229284 0.930089 9.9982e-05 9.9982e-05 0.0694814
IN0116 0.62958 0.115151 0.189647 9.9991e-05 0.0655212
IN0059 0.785465 9.9982e-05 0.157367 9.9982e-05 0.0569682
FR1069 9.9973e-05 0.949126 9.9973e-05 9.9973e-05 0.0505745
CD0065 0.901739 0.0219259 0.032499 9.9991e-05 0.0437356
IN0054 0.956105 0.00439533 9.9982e-05 9.9982e-05 0.0392994
PH42 0.0184859 0.933685 0.0107195 9.9991e-05 0.0370095
TR0025 0.964822 9.9973e-05 9.9973e-05 9.9973e-05 0.0348783
IN0114 0.675651 9.9991e-05 0.184386 0.105494 0.0343695
IN0017 0.833598 9.9991e-05 0.113785 0.0231873 0.0293303
CH0533 0.921251 9.9982e-05 0.0493866 9.9982e-05 0.0291624
US0041 0.91234 9.9982e-05 9.9982e-05 0.0666223 0.0208374
PgPA18C-02 0.0290897 0.942211 9.9991e-05 0.0126101 0.0159892
IE1K 0.802317 0.0821632 0.0875053 0.0181426 0.00987207
INA168 0.954964 9.99822e-05 9.99822e-05 0.0384569 0.00637917
CH0452 0.823895 9.9982e-05 0.16965 9.9982e-05 0.00625463
CHRF 9.9973e-05 0.997865 9.9973e-05 9.9973e-05 0.00183463
IB49 0.356857 0.140258 0.416553 0.0862328 9.9991e-05
IC17 0.772311 0.144842 0.0552369 0.0275105 9.9991e-05
VT0027 0.461342 0.086459 0.311244 0.140855 9.9991e-05
BN0252 0.903411 0.0899756 9.99821e-05 0.00641297 9.99821e-05
IA1 0.864334 0.100483 0.0349834 9.99821e-05 9.99821e-05
NP0058 0.0673189 0.0205061 9.99821e-05 0.911975 9.99821e-05
VT0030 0.548733 9.99821e-05 0.35344 0.0976272 9.99821e-05
BN0202 0.788075 0.0510542 0.160671 9.9982e-05 9.9982e-05
Br7 9.9982e-05 0.952499 0.0346866 0.0126144 9.9982e-05
Br80 9.9982e-05 0.988202 0.00325573 0.0083422 9.9982e-05
CD0142 0.485553 9.9982e-05 0.398239 0.116008 9.9982e-05
GY0040 0.682666 0.0641344 0.253 9.9982e-05 9.9982e-05
HO 0.00760007 0.97783 0.0143703 9.9982e-05 9.9982e-05
NG0054 0.903448 9.9982e-05 0.08708 0.00927223 9.9982e-05
ML33 0.990526 9.99732e-05 9.99732e-05 0.00917389 9.99732e-05
ML0060 0.941178 9.99731e-05 0.0585222 9.99731e-05 9.99731e-05
ML0062 0.913205 0.0864952 9.99731e-05 9.99731e-05 9.99731e-05
P3 0.0103196 0.98938 9.99731e-05 9.99731e-05 9.99731e-05
AG0004 0.968683 9.9973e-05 0.0310167 9.9973e-05 9.9973e-05
B71 9.9973e-05 0.977875 0.021825 9.9973e-05 9.9973e-05
BdBar 9.9973e-05 0.983335 0.0163649 9.9973e-05 9.9973e-05
CH0072 9.9973e-05 9.9973e-05 0.0961506 0.90355 9.9973e-05
CH1164 9.9973e-05 9.9973e-05 0.0586119 0.941088 9.9973e-05
CM0028 0.93772 9.9973e-05 0.0619803 9.9973e-05 9.9973e-05
LpKY-97-1 0.0129932 0.986707 9.9973e-05 9.9973e-05 9.9973e-05
Pg1213-22 0.00954082 0.990159 9.9973e-05 9.9973e-05 9.9973e-05
PL2-1 9.9973e-05 0.999352 0.000348172 9.9973e-05 9.9973e-05
T25 9.9973e-05 0.983439 9.9973e-05 0.0162614 9.9973e-05
CH0461 9.997e-05 9.997e-05 9.997e-05 0.9996 9.997e-05
CHW 9.997e-05 0.9996 9.997e-05 9.997e-05 9.997e-05
GG11 9.997e-05 0.9996 9.997e-05 9.997e-05 9.997e-05
IT0010 0.9996 9.997e-05 9.997e-05 9.997e-05 9.997e-05
NG0012 0.9996 9.997e-05 9.997e-05 9.997e-05 9.997e-05
P28 9.997e-05 0.9996 9.997e-05 9.997e-05 9.997e-05
TN0001 9.997e-05 9.997e-05 0.9996 9.997e-05 9.997e-05
TN0002 9.997e-05 9.997e-05 0.9996 9.997e-05 9.997e-05
TN0065 9.997e-05 9.997e-05 0.9996 9.997e-05 9.997e-05
TN0090 9.997e-05 9.997e-05 0.9996 9.997e-05 9.997e-05
