sorted_sample_ids V1 V2 V3 V4 V5 V6
IR00102 9.996e-05 9.996e-05 9.996e-05 9.996e-05 9.996e-05 0.9995
IR0083 9.996e-05 9.996e-05 9.996e-05 9.996e-05 9.996e-05 0.9995
IR0084 9.996e-05 9.996e-05 9.996e-05 9.996e-05 9.996e-05 0.9995
IR0015 0.00139467 9.99639e-05 9.99639e-05 9.99639e-05 9.99639e-05 0.998205
IR0013 0.00505736 9.99639e-05 9.99639e-05 9.99639e-05 9.99639e-05 0.994543
IR0095 9.99639e-05 9.99639e-05 0.0192393 9.99639e-05 9.99639e-05 0.980361
GN0001 9.9973e-05 9.9973e-05 0.0304175 9.9973e-05 0.0459824 0.9233
IR0088 0.0368796 0.090086 9.9991e-05 0.018108 0.180754 0.674073
US0064 9.997e-05 0.318471 9.997e-05 9.997e-05 0.0749972 0.606232
GFSI1-7-2 9.997e-05 0.344108 9.997e-05 9.997e-05 0.0880272 0.567565
SSFL02 9.99732e-05 9.99732e-05 9.99732e-05 0.00765177 0.426501 0.565548
JP0091 9.9982e-05 0.30548 9.9982e-05 0.00241837 0.141401 0.550501
Bm88324 9.9982e-05 0.0916731 0.036793 9.9982e-05 0.370708 0.500626
BN0019 9.998e-05 0.032122 9.998e-05 0.483827 0.00137457 0.482476
BF0072 9.99731e-05 0.0086406 9.99731e-05 0.595207 9.99731e-05 0.395852
SSFL14-3 9.99732e-05 9.99732e-05 9.99732e-05 0.178436 0.426173 0.39509
Z2-1 0.0416295 9.998e-05 0.0423253 9.998e-05 0.571171 0.344674
G22 9.9973e-05 9.9973e-05 0.077855 9.9973e-05 0.60724 0.314605
G17 0.00790133 9.9991e-05 0.016556 0.0117666 0.667712 0.295964
Bd8401 9.997e-05 0.266308 9.997e-05 9.997e-05 0.443131 0.290261
P29 0.0560347 0.46541 9.999e-05 0.0199285 0.188254 0.270273
Arcadia 9.997e-05 0.4449 9.997e-05 9.997e-05 0.329364 0.225436
BN0119 9.997e-05 0.778213 0.0744742 9.997e-05 9.997e-05 0.147013
PgKY4OV2-1 9.9973e-05 9.9973e-05 9.9973e-05 0.0204403 0.851852 0.127408
IB33 0.0212825 0.826036 9.998e-05 9.998e-05 0.0298526 0.122629
TG0032 9.9991e-05 0.695192 0.0161417 0.118243 0.0555909 0.114732
TG0004 9.999e-05 0.672264 0.047303 0.111564 0.0594655 0.109304
BN0123 9.9982e-05 0.778684 0.08203 0.0321163 9.9982e-05 0.10697
FR1069 9.9973e-05 9.9973e-05 9.9973e-05 0.0185931 0.891919 0.0891879
CH0043 0.724445 0.190784 9.99729e-05 9.99729e-05 9.99729e-05 0.0844712
B2 0.0193628 9.99911e-05 0.0495766 0.125901 0.726013 0.0790469
TN0057 9.9982e-05 0.879262 0.0157202 0.0266395 9.9982e-05 0.0781783
TN0050 9.9982e-05 0.884487 0.0153677 0.0220698 9.9982e-05 0.0778756
IN0116 9.999e-05 0.465692 0.114729 0.240908 0.103907 0.0746648
FR1067 9.997e-05 9.997e-05 9.997e-05 0.0152696 0.917205 0.0672251
CH1103 0.424143 0.14979 0.359133 9.9991e-05 0.000308387 0.0665264
IN0054 9.9973e-05 0.657966 9.9973e-05 0.28387 9.9973e-05 0.057864
PgPA18C-02 0.00894989 0.00659057 9.9982e-05 9.9982e-05 0.927584 0.0566755
IN0059 0.0160174 0.798542 0.10521 0.0259494 9.9991e-05 0.0541816
IN0115 0.0476749 0.730025 0.0585646 0.0673648 0.0507526 0.0456181
CD0065 9.997e-05 0.593622 9.997e-05 0.360591 9.997e-05 0.0454875
