sample_ids V1 V2 V3 V4 V5 V6 V7
AG0004 9.99549e-05 9.99549e-05 0.0739231 0.925577 9.99549e-05 9.99549e-05 9.99549e-05
Arcadia 9.9982e-05 0.00541791 0.220965 0.220874 0.237424 0.315119 9.9982e-05
B2 0.0815123 0.0334316 9.99822e-05 9.99822e-05 0.0883144 0.759334 0.0372075
B71 9.9955e-05 0.0369842 9.9955e-05 9.9955e-05 9.9955e-05 0.962516 9.9955e-05
Bd8401 9.99731e-05 9.99731e-05 0.240978 0.0573529 0.239858 0.461512 9.99731e-05
BdBar 9.9955e-05 0.0225009 9.9955e-05 9.9955e-05 9.9955e-05 0.976999 9.9955e-05
BF0072 0.521987 9.99642e-05 0.124759 9.99642e-05 0.352855 9.99642e-05 9.99642e-05
Bm88324 9.99731e-05 0.0241364 0.142872 9.99731e-05 0.450183 0.382509 9.99731e-05
BN0019 0.400271 9.99731e-05 0.219404 9.99731e-05 0.379919 0.000105829 9.99731e-05
BN0119 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05
BN0123 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05
BN0202 0.186769 0.118821 9.9973e-05 0.660367 9.9973e-05 0.0337431 9.9973e-05
BN0252 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05
Br7 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 0.956987 0.042513
Br80 9.9964e-05 9.9964e-05 9.9964e-05 0.0393016 9.9964e-05 0.94825 0.012049
CD0065 0.342536 9.9982e-05 0.53013 0.0828771 0.0285301 0.0157268 9.9982e-05
CD0142 0.194617 0.352573 0.386048 0.00306854 9.9982e-05 9.9982e-05 0.0634935
CH0043 9.99729e-05 9.99729e-05 0.139296 0.0685021 0.0692229 9.99729e-05 0.722679
CH0072 9.9955e-05 0.0967769 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 0.902723
CH0452 0.0307965 0.0535673 0.750884 0.164453 9.9973e-05 9.9973e-05 9.9973e-05
CH0461 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994
CH0533 0.0751005 0.0191644 0.346509 0.558927 9.99729e-05 9.99729e-05 9.99729e-05
CH1103 9.9973e-05 0.33914 0.249969 9.9973e-05 9.9973e-05 0.00908252 0.401508
CH1164 9.9964e-05 0.0956925 0.0137746 9.9964e-05 9.9964e-05 9.9964e-05 0.890133
CHRF 9.99551e-05 9.99551e-05 9.99551e-05 9.99551e-05 0.0189072 0.980593 9.99551e-05
CHW 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05
CM0028 0.778587 0.0643889 0.0601469 0.0965772 9.99729e-05 9.99729e-05 9.99729e-05
FR1067 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 0.0668448 0.932655 9.9955e-05
FR1069 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 0.082462 0.917038 9.9955e-05
G17 0.013855 0.030746 9.99821e-05 9.99821e-05 0.265733 0.686142 0.00332378
