sample_ids V1 V2 V3 V4 V5 V6 V7 V8
AG0004 9.99549e-05 0.0229422 0.923482 9.99549e-05 0.0530761 9.99549e-05 9.99549e-05 9.99549e-05
Arcadia 0.295431 0.00657207 0.233832 0.154988 0.0854707 9.9982e-05 0.223506 9.9982e-05
B2 0.767434 0.0942439 9.99733e-05 9.99733e-05 9.99733e-05 0.030189 0.0861884 0.0216445
B71 0.977538 0.0218622 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05
Bd8401 0.412813 9.99731e-05 0.106879 0.149952 0.142843 9.99731e-05 0.187213 9.99731e-05
BdBar 0.972233 9.9946e-05 0.0271669 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05
BF0072 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 0.9993 9.994e-05
Bm88324 0.470404 9.99641e-05 9.99641e-05 0.280137 0.137926 9.99641e-05 0.111133 9.99641e-05
BN0019 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 0.9993 9.994e-05
BN0119 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05 0.890763 9.99461e-05 0.108638 9.99461e-05
BN0123 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05 0.917413 9.99461e-05 0.0819869 9.99461e-05
BN0202 0.023067 0.111831 0.708141 9.9964e-05 9.9964e-05 9.9964e-05 9.9964e-05 0.156562
BN0252 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05 0.0181985 0.981202
Br7 0.946078 9.9964e-05 0.0302265 9.9964e-05 9.9964e-05 0.0147567 9.9964e-05 0.00853895
Br80 0.93883 9.9955e-05 0.0535897 9.9955e-05 9.9955e-05 0.00708094 9.9955e-05 9.9955e-05
CD0065 9.99729e-05 0.0261963 0.132385 9.99729e-05 0.282953 9.99729e-05 0.238244 0.319921
CD0142 9.9964e-05 0.300986 9.9964e-05 9.9964e-05 0.357334 0.0633576 9.9964e-05 0.277922
CH0043 9.99729e-05 9.99729e-05 0.07115 0.0819285 0.154353 0.668537 0.0237319 9.99729e-05
