sorted_sample_ids V1 V2 V3 V4 V5 V6 V7 V8 V9
IR00102 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 0.999201
IR0013 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 0.999201
IR0083 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 0.999201
IR0084 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 0.999201
IR0095 9.9937e-05 0.0041979 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.995103
IR0015 0.0122735 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.987027
GN0001 9.99461e-05 9.99461e-05 9.99461e-05 0.119835 9.99461e-05 9.99461e-05 0.0463723 9.99461e-05 0.833193
IR0088 0.0224958 0.00495093 0.0447202 0.202703 0.0598071 0.040889 0.148673 9.9991e-05 0.475661
GFSI1-7-2 9.99641e-05 0.146748 9.99641e-05 9.99641e-05 0.0761311 9.99641e-05 0.431446 0.0223825 0.322893
Bm88324 0.0718891 9.9973e-05 9.9973e-05 0.381173 0.0574177 9.9973e-05 0.16892 0.0193828 0.300918
US0064 9.99548e-05 0.146533 9.99548e-05 9.99548e-05 0.081989 9.99548e-05 0.484924 9.99548e-05 0.286055
SSFL02 9.99552e-05 9.99552e-05 9.99552e-05 0.538725 0.0169978 9.99552e-05 0.169314 9.99552e-05 0.274464
JP0091 9.99729e-05 0.133566 9.99729e-05 0.0746061 0.0244186 9.99729e-05 0.465259 0.0360994 0.26575
G17 9.99731e-05 9.99731e-05 0.0407209 0.429835 0.281719 0.00590316 9.99731e-05 0.0137287 0.227794
G22 9.9964e-05 9.9964e-05 9.9964e-05 0.440198 0.285228 9.9964e-05 0.0248964 0.0442089 0.205068
Z2-1 9.99641e-05 9.99641e-05 9.99641e-05 0.68453 9.99641e-05 0.0254257 0.0898138 0.0462244 0.153606
P29 0.222063 0.0898357 0.104966 0.144777 0.108634 0.0399558 0.0850319 0.0663877 0.138348
Bd8401 0.104499 0.0601946 9.99641e-05 9.99641e-05 0.462802 9.99641e-05 0.285589 9.99641e-05 0.0865149
SSFL14-3 9.99462e-05 9.99462e-05 9.99462e-05 0.607578 9.99462e-05 9.99462e-05 0.333486 9.99462e-05 0.0583367
CH0043 0.234078 0.00545492 9.99639e-05 9.99639e-05 9.99639e-05 0.682985 0.0240325 9.99639e-05 0.0530494
