"AccessID","Population"
"AG0004","Pop4"
"Arcadia","Pop6"
"B2","Pop6"
"B71","Pop6"
"Bd8401","Pop6"
"BdBar","Pop6"
"BF0072","Pop1"
"Bm88324","Pop5"
"BN0019","Pop1"
"BN0119","Pop3"
"BN0123","Pop3"
"BN0202","Pop4"
"BN0252","Pop1"
"Br7","Pop6"
"Br80","Pop6"
"CD0065","Pop3"
"CD0142","Pop3"
"CH0043","Pop7"
"CH0072","Pop7"
"CH0452","Pop3"
"CH0461","Pop7"
"CH0533","Pop4"
"CH1103","Pop7"
"CH1164","Pop7"
"CHRF","Pop6"
"CHW","Pop6"
"CM0028","Pop1"
"FR1067","Pop6"
"FR1069","Pop6"
"G17","Pop6"
"G22","Pop6"
"GFSI1-7-2","Pop5"
"GG11","Pop6"
"GN0001","Pop5"
"GY0040","Pop1"
"HO","Pop6"
"IA1","Pop4"
"IB33","Pop3"
"IB49","Pop2"
"IC17","Pop3"
"IE1K","Pop3"
"IN0017","Pop3"
"IN0054","Pop3"
"IN0059","Pop3"
"IN0114","Pop3"
"IN0115","Pop3"
"IN0116","Pop4"
"INA168","Pop4"
"IR00102","Pop5"
"IR0013","Pop5"
"IR0015","Pop5"
"IR0083","Pop5"
"IR0084","Pop5"
"IR0088","Pop5"
"IR0095","Pop5"
"IT0010","Pop4"
"JP0091","Pop5"
"LpKY-97-1","Pop6"
"ML0060","Pop1"
"ML0062","Pop3"
"ML33","Pop1"
"NG0012","Pop1"
"NG0054","Pop1"
"NP0058","Pop7"
"P28","Pop6"
"P29","Pop6"
"P3","Pop6"
"Pg1213-22","Pop6"
"PgKY4OV2-1","Pop6"
"PgPA18C-02","Pop6"
"PH42","Pop6"
"PL2-1","Pop6"
"SSFL02","Pop6"
"SSFL14-3","Pop6"
"T25","Pop6"
"TG0004","Pop3"
"TG0032","Pop3"
"TN0001","Pop2"
"TN0002","Pop2"
"TN0050","Pop3"
"TN0057","Pop3"
"TN0065","Pop2"
"TN0090","Pop2"
"TR0025","Pop4"
"US0041","Pop3"
"US0064","Pop5"
"VT0027","Pop1"
"VT0030","Pop1"
"Z2-1","Pop6"
