"isolate","Host binomial name","Host genus","Locality","Longitude","Latitude"
"AG0004","Oryza sativa","Oryza","Lucas Norte, Entre Rios, Argentina","-58.8333282","-31.4833298"
"Arcadia","Setaria viridis","Setaria","Lexington, KY, USA","-84.50164","38.047989"
"B2","Triticum aestivum","Triticum","Bolivia","-63.5493965","-16.2837065"
"B71","Triticum aestivum","Triticum","Bolivia","-63.5493965","-16.2837065"
"Bd8401","Brachiaria distachya","Brachiaria","Philippines","122.6217542","11.6978352"
"BdBar","Triticum aestivum","Triticum","Barisal, Bangladesh","90.3666652","22.6999972"
"BF0072","Oryza sativa","Oryza","Pankatioro, Burkina Faso","-1.53388","12.36566"
"Bm88324","Brachiaria mutica","Brachiaria","Philippines","122.6217542","11.6978352"
"BN0019","Oryza sativa","Oryza","Malanville, Benin","3.38327","11.86819"
"BN0119","Oryza sativa","Oryza","Kokey-Banikoara, Benin","2.4333316","11.2999988"
"BN0123","Oryza sativa","Oryza","Kokey-Banikoara, Benin","2.4333316","11.2999988"
"BN0202","Oryza sativa","Oryza","Lokossa, Benin","1.7166638","6.6333308"
"BN0252","Oryza sativa","Oryza","Lokossa, Benin","1.7166638","6.6333308"
"Br7","Triticum aestivum","Triticum","Parana, Brazil","-51.1732073","-23.29273"
"Br80","Triticum aestivum","Triticum","Brazil","-53.1805017","-14.2400732"
"CD0065","Oryza sativa","Oryza","San Pedro, Ivory Coast","-6.636497454","4.75083033"
"CD0142","Oryza sativa","Oryza","Odienne, Ivory Coast","-7.5666644","9.5166646"
"CH0043","Oryza sativa","Oryza","Yunnan, China","101.5",25
"CH0072","Oryza sativa","Oryza","Madjong, Yunnan, China","101.5",25
"CH0452","Oryza sativa","Oryza","Simao, Yunnan, China","100.97166278","22.775163566"
"CH0461","Oryza sativa","Oryza","Simao, Yunnan, China","100.97166278","22.775163566"
"CH0533","Oryza sativa","Oryza","Baoshan, Yunnan, China","99.166666","25.1166662"
"CH1103","Oryza sativa","Oryza","Yule, Yunnan, China","101.5",25
"CH1164","Oryza sativa","Oryza","Yule, Yunnan, China","101.5",25
"CHRF","Lolium perenne","Lolium","Silver Spring, MD, USA","-77.02609","38.99067"
"CHW","Lolium perenne","Lolium","Annapolis, MD, USA","-76.501157","38.972945"
"CM0028","Oryza sativa","Oryza","'M''Bos, Cameroon'","12.3445856","7.3696495"
"FR1067","Lolium perenne","Lolium","Stade de la Mosson, Montpellier, France","3.80721","43.6199725201"
"FR1069","Lolium perenne","Lolium","Stade de la Mosson, Montpellier, France","3.80721","43.6199725201"
"G17","Eragrostis curvula","Eragrostis","Japan","139.708997164","35.700330532"
"G22","Eleusine coracana","Eleusine","Japan","139.708997164","35.700330532"
"GFSI1-7-2","Setaria italica","Setaria","Gifu, Japan","136.756165","35.447227"
"GG11","Lolium perenne","Lolium","Lexington, KY, USA","-84.50164","38.047989"
"GN0001","Zea mays","Zea","Gabon","11.6098045","-0.8201314"
"GY0040","Oryza sativa","Oryza","Mana, Crog, French Guyana, France","-53.77828","5.66766"
"HO","Lolium perenne","Lolium","Richmond, PA, USA","-80.009833294","41.750163666"
"IA1","Oryza sativa","Oryza","Arkansas, USA","-92.199997","34.799999"
"IB33","Oryza sativa","Oryza","Texas, USA",-100,31
"IB49","Oryza sativa","Oryza","Arkansas, USA","-92.199997","34.799999"
"IC17","Oryza sativa","Oryza","Arkansas, USA","-92.199997","34.799999"
"IE1K","Oryza sativa","Oryza","Arkansas, USA","-92.199997","34.799999"
"IN0017","Oryza sativa","Oryza","India","82.7792201","21.1289956"
"IN0054","Oryza sativa","Oryza","India","82.7792201","21.1289956"
"IN0059","Oryza sativa","Oryza","India","82.7792201","21.1289956"
"IN0114","Oryza sativa","Oryza","Bandrakoti, India","72.840556","19.054444"
"IN0115","Oryza sativa","Oryza","Matli, India","78.3824161","30.7403976"
"IN0116","Oryza sativa","Oryza","Matli, India","78.3824161","30.7403976"
"INA168","Oryza sativa","Oryza","Aichi, Japan","136.9833294","35.083333"
"IR00102","Echinochloa sp.","Echinochloa","Azadshahr, Golestan, Iran","55.17397","37.08701"
"IR0013","Zea mays","Zea","Gharakhil, Mazandaran, Iran","52.33333","36.25"
