"isolate","Host.binomial.name","Host.genus","Locality","Longitude","Latitude","Lo","La"
"AG0004","Oryza sativa","Oryza","Lucas Norte, Entre Rios, Argentina","-58.8333282","-31.4833298","58 ° 49 ' 59.98 "" W","31 ° 28 ' 59.99 "" S"
"Arcadia","Setaria viridis","Setaria","Lexington, KY, USA","-84.50164","38.047989","84 ° 30 ' 5.9 "" W","38 ° 2 ' 52.76 "" N"
"B2","Triticum aestivum","Triticum","Bolivia","-63.5493965","-16.2837065","63 ° 32 ' 57.83 "" W","16 ° 17 ' 1.34 "" S"
"B71","Triticum aestivum","Triticum","Bolivia","-63.5493965","-16.2837065","63 ° 32 ' 57.83 "" W","16 ° 17 ' 1.34 "" S"
"Bd8401","Brachiaria distachya","Brachiaria","Philippines","122.6217542","11.6978352","122 ° 37 ' 18.32 "" E","11 ° 41 ' 52.21 "" N"
"BdBar","Triticum aestivum","Triticum","Barisal, Bangladesh","90.3666652","22.6999972","90 ° 21 ' 59.99 "" E","22 ° 41 ' 59.99 "" N"
"BF0072","Oryza sativa","Oryza","Pankatioro, Burkina Faso","-1.53388","12.36566","1 ° 32 ' 1.97 "" W","12 ° 21 ' 56.38 "" N"
"Bm88324","Brachiaria mutica","Brachiaria","Philippines","122.6217542","11.6978352","122 ° 37 ' 18.32 "" E","11 ° 41 ' 52.21 "" N"
"BN0019","Oryza sativa","Oryza","Malanville, Benin","3.38327","11.86819","3 ° 22 ' 59.77 "" E","11 ° 52 ' 5.48 "" N"
"BN0119","Oryza sativa","Oryza","Kokey-Banikoara, Benin","2.4333316","11.2999988","2 ° 25 ' 59.99 "" E","11 ° 17 ' 60 "" N"
"BN0123","Oryza sativa","Oryza","Kokey-Banikoara, Benin","2.4333316","11.2999988","2 ° 25 ' 59.99 "" E","11 ° 17 ' 60 "" N"
"BN0202","Oryza sativa","Oryza","Lokossa, Benin","1.7166638","6.6333308","1 ° 42 ' 59.99 "" E","6 ° 37 ' 59.99 "" N"
"BN0252","Oryza sativa","Oryza","Lokossa, Benin","1.7166638","6.6333308","1 ° 42 ' 59.99 "" E","6 ° 37 ' 59.99 "" N"
"Br7","Triticum aestivum","Triticum","Parana, Brazil","-51.1732073","-23.29273","51 ° 10 ' 23.55 "" W","23 ° 17 ' 33.83 "" S"
